,name,year,score,consensus,staring,director
0,Running Scared,1986,57%,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.","Gregory Hines,Billy Crystal,Jimmy Smits,Steven Bauer",Peter Hyams
1,Equilibrium,2002,41%,Equilibrium is a reheated mishmash of other sci-fi movies.,"Christian Bale,Emily Watson,Taye Diggs,Angus Macfadyen",Kurt Wimmer
2,Hero,2004,94%,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.","Jet Li,Tony Leung Chiu Wai,Maggie Cheung,Daoming Chen",Zhang Yimou
3,Road House,1989,37%,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,"Patrick Swayze,Kelly Lynch,Sam Elliott,Ben Gazzara",Rowdy Herrington
4,Unstoppable,2010,87%,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.","Denzel Washington,Chris Pine,Rosario Dawson,Ethan Suplee",Tony Scott
5,Shaft,1971,88%,"This is the man that would risk his neck for his brother, man. Can you dig it?","Richard Roundtree,Moses Gunn,Gwen Mitchell,Christopher St. John",Gordon Parks
6,The Villainess (Ak-Nyeo),2017,85%,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,"Ok-bin Kim,Kim Seo-hyeong,Shin Ha-kyun,Bang Sung-jun",Jung Byung-gil
7,Highlander,1986,69%,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.","Christopher Lambert,Sean Connery,Roxanne Hart,Clancy Brown",Russell Mulcahy
8,Die Hard 2,1990,69%,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.","Bruce Willis,Bonnie Bedelia,William Atherton,Reginald VelJohnson",Renny Harlin
9,National Treasure,2004,46%,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.","Nicolas Cage,Diane Kruger,Justin Bartha,Sean Bean",Jon Turteltaub
10,The Protector (Tom yum goong) (Warrior King),2005,53%,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.","Tony Jaa,Petchtai Wongkamlao,Bongkoj Khongmalai,Bongkoo Kongmalai",Prachya Pinkaew
11,Revenge,2018,93%,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.","Matilda Anna Ingrid Lutz,Kevin Janssens,Vincent Colombe,Guillaume Bouchède",Coralie Fargeat
12,El Mariachi,1993,93%,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.","Carlos Gallardo,Consuelo Gómez,Reinol Martinez,Peter Marquardt",Robert Rodriguez
13,A Touch of Zen,1969,96%,"A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre.","Feng Hsu,Chun Shih,Pai Ying,Tien Peng",King Hu
14,Top Gun,1986,56%,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.","Tom Cruise,Kelly McGillis,Anthony Edwards,Val Kilmer",Tony Scott
15,Con Air,1997,56%,"Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.","Nicolas Cage,John Cusack,John Malkovich,Steve Buscemi",Simon West
16,The Expendables 2,2012,67%,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.","Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren",Simon West
17,The Mummy,1999,61%,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.","Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo",Stephen Sommers
